Index,Book Name,Author,Rating,Number of Votes,Score
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,9014040,3937075
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,3510284,3160284
3,Pride and Prejudice,Jane Austen,4.29,4400084,2784413
4,To Kill a Mockingbird,Harper Lee,4.26,6364109,2476505
5,The Book Thief,Markus Zusak,4.39,2662279,1856845
6,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.66,6805496,1702516
7,Animal Farm,George Orwell,3.99,4062818,1592078
8,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61,137006,1540872
9,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.28,670721,1466464
10,The Fault in Our Stars,John Green,4.13,5327761,1355030
11,The Picture of Dorian Gray,Oscar Wilde,4.13,1630994,1265815
12,The Giving Tree,Shel Silverstein,4.38,1161908,1191514
13,Wuthering Heights,Emily Brontë,3.89,1877200,1186149
14,Gone with the Wind,Margaret Mitchell,4.31,1235802,1173894
15,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.31,3161858,1114738
16,The Perks of Being a Wallflower,Stephen Chbosky,4.23,1862039,1114376
17,Jane Eyre,Charlotte Brontë,4.15,2157650,1079080
18,The Little Prince,Antoine de Saint-Exupéry,4.33,2202706,1063270
19,The Great Gatsby,F. Scott Fitzgerald,3.93,5429599,1044482
20,"The da Vinci Code (Robert Langdon, #2)",Dan Brown,3.92,2405678,995482
21,Crime and Punishment,Fyodor Dostoevsky,4.27,950112,982615
22,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,578723,971045
23,"Divergent (Divergent, #1)",Veronica Roth,4.14,4110627,959986
24,Memoirs of a Geisha,Arthur Golden,4.15,2037551,945954
25,Les Misérables,Victor Hugo,4.21,811789,932748
26,The Alchemist,Paulo Coelho,3.91,3210067,923112
27,Lord of the Flies,William Golding,3.7,2991952,905864
28,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.32,1020731,897588
29,Romeo and Juliet,William Shakespeare,3.74,2669633,889809
30,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.07,2052448,841955
31,"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.23,1897083,840179
32,The Help,Kathryn Stockett,4.47,2850263,823399
33,Dracula,Bram Stoker,4.02,1325783,815099
34,Charlotte’s Web,E.B. White,4.2,1904505,795867
35,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,4.31,1407510,789431
36,Of Mice and Men,John Steinbeck,3.89,2629989,780959
37,Fahrenheit 451,Ray Bradbury,3.96,2529995,767690
38,The Catcher in the Rye,J.D. Salinger,3.8,3636651,757073
39,Brave New World,Aldous Huxley,3.99,1920679,739126
40,One Hundred Years of Solitude,Gabriel García Márquez,4.12,1006913,734119
41,A Thousand Splendid Suns,Khaled Hosseini,4.44,1593566,722631
42,The Princess Bride,William Goldman,4.27,915502,700360
44,The Secret Garden,Frances Hodgson Burnett,4.16,1212392,696653
45,The Outsiders,S.E. Hinton,4.13,1416288,690849
46,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44,2570042,684525
47,1984,George Orwell,4.19,4840037,682659
48,Little Women,Louisa May Alcott,4.16,2303183,681160
49,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.98,1228390,628764
50,"Harry Potter and the Sorcerer’s Stone (Harry Potter, #1)",J.K. Rowling,4.47,10469761,618962
51,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,3837660,617612
52,The Odyssey,Homer,3.81,1114136,612276
53,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.88,1670007,604855
54,The Kite Runner,Khaled Hosseini,4.35,3249967,598063
55,"The Giver (The Giver, #1)",Lois Lowry,4.12,2581980,587071
56,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.14,2140180,582930
57,Where the Wild Things Are,Maurice Sendak,4.25,1021559,563968
58,The Lovely Bones,Alice Sebold,3.86,2394909,562067
59,The Adventures of Huckleberry Finn,Mark Twain,3.83,1286077,559422
60,Green Eggs and Ham,Dr. Seuss,4.31,797852,558779
61,Life of Pi,Yann Martel,3.94,1665898,543504
62,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,4389338,542383
63,"Dune (Dune, #1)",Frank Herbert,4.28,1462391,540950
64,A Tale of Two Cities,Charles Dickens,3.87,968677,536722
65,Lolita,Vladimir Nabokov,3.88,878962,531207
66,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.1,1400827,515954
67,Water for Elephants,Sara Gruen,4.11,1646177,502418
68,The Bell Jar,Sylvia Plath,4.06,1042191,481067
69,Matilda,Roald Dahl,4.33,1001219,470722
70,The Stand,Stephen King,4.35,783639,453522
71,Catch-22,Joseph Heller,3.99,846066,443172
72,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,4.3,309692,432290
73,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.34,783360,427199
