Index,Book Name,Author,Rating,Number of Votes,Score,isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
1,"the hunger games (the hunger games, #1)",Suzanne Collins,4.34,9014040,3937075,,,,,,,,,,,,
2,"harry potter and the order of the phoenix (harry potter, #5)",J.K. Rowling,4.5,3510284,3160284,,,,,,,,,,,,
3,pride and prejudice,Jane Austen,4.29,4400084,2784413,9780140620221.0,0140620222,pride and prejudice,,Jane Austen,Courtship,http://books.google.com/books/content?id=xdySuAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,First published in 1813.,1994.0,4.25,299.0,1852.0
3,pride and prejudice,Jane Austen,4.29,4400084,2784413,9780141439518.0,0141439513,pride and prejudice,,Jane Austen,Fiction,http://books.google.com/books/content?id=obMP1xBBhh8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In early nineteenth-century England, a spirited young woman copes with the suit of a snobbish gentleman, as well as the romantic entanglements of her four sisters.",2003.0,4.25,480.0,11552.0
3,pride and prejudice,Jane Austen,4.29,4400084,2784413,9780192802385.0,0192802380,pride and prejudice,,Jane Austen,Fiction,http://books.google.com/books/content?id=8cp-Z_G42g4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"'his perfect indifference, and your pointed dislike, make it so delightfully absurd!' Pride and Prejudice has delighted generations of readers with its unforgettable cast of characters, carefully choreographed plot, and a hugely entertaining view of the world and its absurdities. With the arrival of eligible young men in their neighbourhood, the lives of Mr and Mrs Bennet and their five daughters are turned inside out and menide down. Pride encounters prejudice, upward-mobility confronts social disdain, and quick-wittedness challenges sagacity, as misconceptions and hasty judgements lead to heartache and scandal, but eventually to true understanding, self-knowledge, and love. In this supremely satisfying story, Jane Austen balances comedy with seriousness, and witty observation with profound insight. If Elizabeth Bennet returns again and again to her letter from Mr Darcy, readers of the novel are drawn even more irresistibly by its captivating wisdom.",2004.0,4.25,333.0,2369.0
4,to kill a mockingbird,Harper Lee,4.26,6364109,2476505,,,,,,,,,,,,
5,the book thief,Markus Zusak,4.39,2662279,1856845,,,,,,,,,,,,
6,"twilight (the twilight saga, #1)",Stephenie Meyer,3.66,6805496,1702516,,,,,,,,,,,,
7,animal farm,George Orwell,3.99,4062818,1592078,,,,,,,,,,,,
8,j.r.r. tolkien 4-book boxed set: the hobbit and the lord of the rings,J.R.R. Tolkien,4.61,137006,1540872,,,,,,,,,,,,
9,"the chronicles of narnia (the chronicles of narnia, #1-7)",C.S. Lewis,4.28,670721,1466464,,,,,,,,,,,,
10,the fault in our stars,John Green,4.13,5327761,1355030,,,,,,,,,,,,
11,the picture of dorian gray,Oscar Wilde,4.13,1630994,1265815,9780192807298.0,0192807293,the picture of dorian gray,,Oscar Wilde,Fiction,http://books.google.com/books/content?id=Us0gTQUSAvsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"When Dorian Gray has his portrait painted, he is captivated by his own beauty. Set in fin-de-siecle London, this novel traces a path from the studio of painter Basil Hallward to the opium dens of the East End. Combining elements of the supernatural, aestheticism, and the Gothic, this is a work of fiction.",2006.0,4.07,229.0,1079.0
11,the picture of dorian gray,Oscar Wilde,4.13,1630994,1265815,9780375751516.0,0375751513,the picture of dorian gray,,Oscar Wilde,Fiction,http://books.google.com/books/content?id=kIcZKBNaQtIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,The handsome appearance of dissolute young Dorian Gray remains unchanged while the features in his portrait become distorted as his degeneration progresses,1998.0,4.07,367.0,705175.0
11,the picture of dorian gray,Oscar Wilde,4.13,1630994,1265815,9781557424297.0,1557424292,the picture of dorian gray,,Oscar Wilde,Fiction,http://books.google.com/books/content?id=8_d2vgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A young man of rare beauty, Dorian Gray is the very picture of the ideal British gentleman. When he is drawn into a life of decadence and lustful indulgence, he discovers a painting begins to bear new marks for each of his sins, leaving him as youthful and attractive as ever. And so begins Dorian's descent into a personal hell of lies, murder, and depravity.",2005.0,4.07,187.0,329.0
12,the giving tree,Shel Silverstein,4.38,1161908,1191514,,,,,,,,,,,,
13,wuthering heights,Emily Brontë,3.89,1877200,1186149,9780140620122.0,0140620125,wuthering heights,,Emily Brontë,Fiction,http://books.google.com/books/content?id=bK-LRAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In a house haunted by memories, the past is everywhere ... As darkness falls, a man caught in a snowstorm is forced to shelter at the strange, grim house Wuthering Heights. It is a place he will never forget. There he will come to learn the story of Cathy: how she was forced to choose between her well-meaning husband and the dangerous man she had loved since she was young. How her choice led to betrayal and terrible revenge - and continues to torment those in the present. How love can transgress authority, convention, even death. And how desire can kill.",1994.0,3.84,279.0,2101.0
13,wuthering heights,Emily Brontë,3.89,1877200,1186149,9780393978896.0,0393978893,wuthering heights,"The 1847 Text, Backgrounds and Contexts, Criticism",Emily Bronte;Emily Brontë,Fiction,http://books.google.com/books/content?id=dBKCQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,The text of the novel is based on the first edition of 1847.,2003.0,3.84,464.0,1041597.0
